id,County,Region
1,KERN,"BAKERSFIELD AND VICINITY"
2,KERN,"VALLEY AREA"
3,"LOS ANGELES","CHANNEL ISLANDS"
4,"LOS ANGELES","LA BASIN: SAN FERNANDO VALLEY"
5,"LOS ANGELES","LA BASIN: SOUTH OF SAN FERNANDO VALLEY"
6,"LOS ANGELES","NORTH - LANCASTER/PALMDALE ETC."
7,"LOS ANGELES","SANTA CLARITA VALLEY- SAUGUS/NEWHALL"
8,ORANGE,NULL
9,RIVERSIDE,"RIVERSIDE/CORONA METROPOLITAN AREAS"
10,"SAN BERNARDINO","SAN BERNARDINO VALLEY AREA"
11,"SAN DIEGO","CAMP PENDLETON"
12,"SAN DIEGO","COASTAL REGIONS"
13,"SAN DIEGO","ESCONDIDO & VICINITY"
14,"SAN DIEGO","SAN DIEGO & VICINITY"
15,"SAN LUIS OBISPO","ARROYO GRANDE/5 CITIES/NIPOMO"
16,"SAN LUIS OBISPO","ATASCADERO & VICINITY"
17,"SAN LUIS OBISPO","CARRIZO PLAIN & VICINITY"
18,"SAN LUIS OBISPO","LAKE NACIMIENTO AREA"
19,"SAN LUIS OBISPO","LOS PADRES NATIONAL FOREST"
20,"SAN LUIS OBISPO","MORRO BAY & VICINITY"
21,"SAN LUIS OBISPO","NORTH COAST"
22,"SAN LUIS OBISPO","PASO ROBLES & VICINITY"
23,"SAN LUIS OBISPO","SAN LUIS OBISPO CITY & VICINITY"
24,"SAN LUIS OBISPO","SHANDON/SAN JUAN VALLEY & VICINITY"
25,"SANTA BARBARA","CARPINTERIA VALLEY"
26,"SANTA BARBARA","CHANNEL ISLANDS"
27,"SANTA BARBARA","CUYAMA VALLEY"
28,"SANTA BARBARA",GAVIOTA/PT.CONCEPTION
29,"SANTA BARBARA","GOLETA VALLEY"
30,"SANTA BARBARA","LOMPOC VALLEY"
31,"SANTA BARBARA","LOS PADRES NATIONAL FOREST"
32,"SANTA BARBARA","SANTA BARBARA/MONTECITO"
33,"SANTA BARBARA","SANTA MARIA VALLEY"
34,"SANTA BARBARA","SANTA YNEZ VALLEY"
35,"SANTA BARBARA","VANDENBERG AFB"
36,VENTURA,"CHANNEL ISLANDS"
37,VENTURA,"COASTAL VENTURA/OXNARD PLAIN"
38,VENTURA,"LAKE CASITAS/OJAI VALLEY"
39,VENTURA,"LOS PADRES NATIONAL FOREST"
40,VENTURA,"MOORPARK/SIMI VALLEY & VICINITY"
41,VENTURA,"SANTA CLARA RIVER VALLEY"
42,VENTURA,"THOUSAND OAKS & VICINITY"
