id,region
1,La Basin: San Fernando Valley
2,La Basin: South of San Fernando Valley
3,Orange County
4,Coastal Regions
5,Camp Pendleton
6,Escondido & Vicinity
7,Carpinteria Valley
8,Santa Maria Valley
9,Morro Bay & Vicinity
10,Santa Barbara / Montecito
11,Goleta Valley
12,Riverside/Corona Metropolitan Areas
13,Bakersfield And Vicinity
14,Valley Area
15,Channel Islands
16,"North LA County - Lancaster, Palmdale etc."
17,Santa Clarita Valley- Saugus/newhall
18,San Bernardino Valley Area
19,Coastal Ventura/Oxnard Plain
20,San Diego & Vicinity
21,Arroyo Grande/5 Cities/Nipomo
22,Atascadero & Vicinity
23,Carrizo Plain & Vicinity
24,Lake Nacimiento Area
25,Los Padres National Forest
26,North Coast
27,Paso Robles & Vicinity
28,San Luis Obispo City & Vicinity
29,Shandon / San Juan Valley & Vicinity
30,Cuyama Valley
31,Gaviota/Pt.Conception
32,Lompoc Valley
33,Santa Ynez Valley
34,Vandenberg Afb
35,Lake Casitas/Ojai Valley
36,Moorpark/Simi Valley & Vicinity
37,Santa Clara River Valley
38,Thousand Oaks & Vicinity
